text,intent,emotion
at night i am proud of myself and i need help,positive,happy
honestly i cannot handle all this pressure these days,stress,overwhelmed
recently my sleep is disturbed because it keeps happening,sleep,stressed
recently hey there because it keeps happening,greeting,neutral
recently i am happy today and it is affecting me,positive,hopeful
at night i feel depressed today lately,sadness,hopeless
i am angry at my friend and i need help,anger,frustrated
recently i am angry upon you today,anger,angry
i feel worthless sometimes,self_esteem,sad
hello i want to chat,greeting,happy
honestly i am confused about my relationship please help me,relationship,upset
sometimes my mind is overloaded please help me,stress,frustrated
i keep imagining the worst and i feel stuck,anxiety,anxious
recently i have too many responsibilities please help me,stress,overwhelmed
i want to cry please help me,sadness,hopeless
honestly my relationship is stressful and i want to feel better,relationship,upset
i need someone to talk to please help me,greeting,happy
at night i am worried about my grades because it keeps happening,academic_pressure,stressed
at night someone made me furious these days,anger,frustrated
sometimes i cannot stop overthinking and it is affecting me,anxiety,anxious
at home thanks for being here and it is affecting me,gratitude,grateful
i feel worthless sometimes and i need help,self_esteem,insecure
at home i have no one to share this with please help me,loneliness,down
in class i am grateful for small things today,gratitude,grateful
sometimes good evening today,greeting,neutral
honestly everything feels like too much and it is affecting me,stress,overwhelmed
honestly my friend ignored me and it is affecting me,relationship,sad
at home everyone seems busy without me,loneliness,lonely
in class i feel hopeful today,positive,content
everyone seems busy without me but i do not know what to do,loneliness,down
in class hello and i want to feel better,greeting,happy
at night i feel forgotten right now,loneliness,lonely
recently i sleep too late,sleep,tired
recently hey there lately,greeting,content
at night i am proud of myself and i feel stuck,positive,content
at night hello i want to chat please help me,greeting,content
honestly i need encouragement and it is affecting me,motivation,tired
sometimes i need encouragement but i do not know what to do,motivation,determined
sometimes good evening these days,greeting,happy
i feel hurt by someone i love but i do not know what to do,relationship,sad
honestly i feel like a failure right now,self_esteem,confused
at home i feel exhausted every morning today,sleep,stressed
sometimes i feel anxious right now,anxiety,overwhelmed
at home my thoughts are moving too fast and i need help,anxiety,nervous
at night my assignments are too much but i do not know what to do,academic_pressure,overwhelmed
in class i cannot stop crying and it is affecting me,sadness,hopeless
at night hello i want to chat and i need help,greeting,neutral
in class i am sad and tired and i need help,sadness,sad
i feel aggressive right now because it keeps happening,anger,frustrated
nobody talks to me right now,loneliness,sad
in class i feel stressed but i do not know what to do,stress,tired
sometimes i miss my friend and it is affecting me,relationship,worried
at home i have too much study pressure right now,academic_pressure,overwhelmed
i feel hopeless right now today,sadness,down
at home i am grateful for small things today lately,gratitude,content
at night my assignments are too much but i do not know what to do,academic_pressure,anxious
sometimes i appreciate my family and it is affecting me,gratitude,content
sometimes nothing feels good today lately,sadness,upset
in class i need encouragement and i feel stuck,motivation,tired
at night nobody talks to me right now,loneliness,lonely
at home i am proud of myself today,positive,happy
sometimes hi right now,greeting,happy
recently i want to build better habits and it is affecting me,motivation,neutral
honestly my heart feels heavy today,sadness,hopeless
sometimes nothing feels good today and i feel stuck,sadness,hopeless
in class i feel exhausted every morning lately,sleep,anxious
honestly my sleep is disturbed today,sleep,anxious
sometimes good morning but i do not know what to do,greeting,neutral
recently i need better sleep today,sleep,anxious
recently someone close disappointed me and i need help,relationship,confused
recently i feel hurt by someone i love today,relationship,sad
honestly exam pressure is overwhelming and i need help,academic_pressure,stressed
i want to feel better please help me,motivation,tired
at night everyone seems busy without me because it keeps happening,loneliness,lonely
at home how can i start again these days,motivation,tired
at home my thoughts are moving too fast these days,anxiety,nervous
honestly i feel lazy but want to change please help me,motivation,hopeful
honestly i have no one to share this with these days,loneliness,sad
sometimes i feel hurt by someone i love and i want to feel better,relationship,upset
in class i feel exhausted every morning and i feel stuck,sleep,stressed
at night i am worried about my grades these days,academic_pressure,overwhelmed
at home i finally made progress today,positive,happy
