text,intent,emotion,text_length
at night i am proud of myself and i need help,positive,happy,45
honestly i cannot handle all this pressure these days,stress,overwhelmed,53
recently my sleep is disturbed because it keeps happening,sleep,stressed,57
recently hey there because it keeps happening,greeting,neutral,45
recently i am happy today and it is affecting me,positive,hopeful,48
at night i feel depressed today lately,sadness,hopeless,38
i am angry at my friend and i need help,anger,frustrated,39
recently i am angry upon you today,anger,angry,34
i feel worthless sometimes,self_esteem,sad,26
hello i want to chat,greeting,happy,20
honestly i am confused about my relationship please help me,relationship,upset,59
sometimes my mind is overloaded please help me,stress,frustrated,46
i keep imagining the worst and i feel stuck,anxiety,anxious,43
recently i have too many responsibilities please help me,stress,overwhelmed,56
i want to cry please help me,sadness,hopeless,28
honestly my relationship is stressful and i want to feel better,relationship,upset,63
i need someone to talk to please help me,greeting,happy,40
at night i am worried about my grades because it keeps happening,academic_pressure,stressed,64
at night someone made me furious these days,anger,frustrated,43
sometimes i cannot stop overthinking and it is affecting me,anxiety,anxious,59
at home thanks for being here and it is affecting me,gratitude,grateful,52
i feel worthless sometimes and i need help,self_esteem,insecure,42
at home i have no one to share this with please help me,loneliness,down,55
in class i am grateful for small things today,gratitude,grateful,45
sometimes good evening today,greeting,neutral,28
honestly everything feels like too much and it is affecting me,stress,overwhelmed,62
honestly my friend ignored me and it is affecting me,relationship,sad,52
at home everyone seems busy without me,loneliness,lonely,38
in class i feel hopeful today,positive,content,29
everyone seems busy without me but i do not know what to do,loneliness,down,59
in class hello and i want to feel better,greeting,happy,40
at night i feel forgotten right now,loneliness,lonely,35
recently i sleep too late,sleep,tired,25
recently hey there lately,greeting,content,25
at night i am proud of myself and i feel stuck,positive,content,46
at night hello i want to chat please help me,greeting,content,44
honestly i need encouragement and it is affecting me,motivation,tired,52
sometimes i need encouragement but i do not know what to do,motivation,determined,59
sometimes good evening these days,greeting,happy,33
i feel hurt by someone i love but i do not know what to do,relationship,sad,58
honestly i feel like a failure right now,self_esteem,confused,40
at home i feel exhausted every morning today,sleep,stressed,44
sometimes i feel anxious right now,anxiety,overwhelmed,34
at home my thoughts are moving too fast and i need help,anxiety,nervous,55
at night my assignments are too much but i do not know what to do,academic_pressure,overwhelmed,65
in class i cannot stop crying and it is affecting me,sadness,hopeless,52
at night hello i want to chat and i need help,greeting,neutral,45
in class i am sad and tired and i need help,sadness,sad,43
i feel aggressive right now because it keeps happening,anger,frustrated,54
nobody talks to me right now,loneliness,sad,28
in class i feel stressed but i do not know what to do,stress,tired,53
sometimes i miss my friend and it is affecting me,relationship,worried,49
at home i have too much study pressure right now,academic_pressure,overwhelmed,48
i feel hopeless right now today,sadness,down,31
at home i am grateful for small things today lately,gratitude,content,51
at night my assignments are too much but i do not know what to do,academic_pressure,anxious,65
sometimes i appreciate my family and it is affecting me,gratitude,content,55
sometimes nothing feels good today lately,sadness,upset,41
in class i need encouragement and i feel stuck,motivation,tired,46
