text,intent,emotion,text_length,processed_text,processed_length
at night i am proud of myself and i need help,positive,happy,45,night proud need help,21
honestly i cannot handle all this pressure these days,stress,overwhelmed,53,honestly handle pressure day,28
recently my sleep is disturbed because it keeps happening,sleep,stressed,57,recently sleep disturbed keep happening,39
recently hey there because it keeps happening,greeting,neutral,45,recently hey keep happening,27
recently i am happy today and it is affecting me,positive,hopeful,48,recently happy today affecting,30
at night i feel depressed today lately,sadness,hopeless,38,night feel depressed today lately,33
i am angry at my friend and i need help,anger,frustrated,39,angry friend need help,22
recently i am angry upon you today,anger,angry,34,recently angry upon today,25
i feel worthless sometimes,self_esteem,sad,26,feel worthless sometimes,24
hello i want to chat,greeting,happy,20,hello want chat,15
honestly i am confused about my relationship please help me,relationship,upset,59,honestly confused relationship please help,42
sometimes my mind is overloaded please help me,stress,frustrated,46,sometimes mind overloaded please help,37
i keep imagining the worst and i feel stuck,anxiety,anxious,43,keep imagining worst feel stuck,31
recently i have too many responsibilities please help me,stress,overwhelmed,56,recently many responsibility please help,40
i want to cry please help me,sadness,hopeless,28,want cry please help,20
honestly my relationship is stressful and i want to feel better,relationship,upset,63,honestly relationship stressful want feel better,48
i need someone to talk to please help me,greeting,happy,40,need someone talk please help,29
at night i am worried about my grades because it keeps happening,academic_pressure,stressed,64,night worried grade keep happening,34
at night someone made me furious these days,anger,frustrated,43,night someone made furious day,30
sometimes i cannot stop overthinking and it is affecting me,anxiety,anxious,59,sometimes stop overthinking affecting,37
at home thanks for being here and it is affecting me,gratitude,grateful,52,home thanks affecting,21
i feel worthless sometimes and i need help,self_esteem,insecure,42,feel worthless sometimes need help,34
at home i have no one to share this with please help me,loneliness,down,55,home one share please help,26
in class i am grateful for small things today,gratitude,grateful,45,class grateful small thing today,32
sometimes good evening today,greeting,neutral,28,sometimes good evening today,28
honestly everything feels like too much and it is affecting me,stress,overwhelmed,62,honestly everything feel like much affecting,44
honestly my friend ignored me and it is affecting me,relationship,sad,52,honestly friend ignored affecting,33
at home everyone seems busy without me,loneliness,lonely,38,home everyone seems busy without,32
in class i feel hopeful today,positive,content,29,class feel hopeful today,24
